,comment,currency,amount,text_length,text_wordcount,tokenized_comment,token_lem,token_pstem,cleaned_lem,cleaned_pstem,cluster,x0,x1,cluster1,x0_1,x1_1
13,Kids on the spectrum need acceptance and the society at large to embrace them for their uniqueness as individuals. To a kinder and open society where we appreciate differences and learn to understand their daily challenges.,SGD,10000,223.0,36.0,"['kids', 'on', 'the', 'spectrum', 'need', 'acceptance', 'and', 'the', 'society', 'at', 'large', 'to', 'embrace', 'them', 'for', 'their', 'uniqueness', 'as', 'individuals', 'to', 'a', 'kinder', 'and', 'open', 'society', 'where', 'we', 'appreciate', 'differences', 'and', 'learn', 'to', 'understand', 'their', 'daily', 'challenges']","['kid', 'on', 'the', 'spectrum', 'need', 'acceptance', 'and', 'the', 'society', 'at', 'large', 'to', 'embrace', 'them', 'for', 'their', 'uniqueness', 'a', 'individual', 'to', 'a', 'kinder', 'and', 'open', 'society', 'where', 'we', 'appreciate', 'difference', 'and', 'learn', 'to', 'understand', 'their', 'daily', 'challenge']","['kid', 'on', 'the', 'spectrum', 'need', 'accept', 'and', 'the', 'societi', 'at', 'larg', 'to', 'embrac', 'them', 'for', 'their', 'uniqu', 'as', 'individu', 'to', 'a', 'kinder', 'and', 'open', 'societi', 'where', 'we', 'appreci', 'differ', 'and', 'learn', 'to', 'understand', 'their', 'daili', 'challeng']",kid on the spectrum need acceptance and the society at large to embrace them for their uniqueness a individual to a kinder and open society where we appreciate difference and learn to understand their daily challenge,kid on the spectrum need accept and the societi at larg to embrac them for their uniqu as individu to a kinder and open societi where we appreci differ and learn to understand their daili challeng,2,-0.07440748303005522,-0.1069130755666542,0,-0.18668461747570955,-0.2732800211307511
14,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,SGD,200,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'thi', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kind', 'keep', 'fight', 'okay']",i hope that this small amount of money will help and spread kindness keep fighting okay,i hope that thi small amount of money will help and spread kind keep fight okay,0,-0.06214374985582653,-0.043423223141008216,0,-0.19459418601368042,-0.21859892403882406
15,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,SGD,350,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'thi', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kind', 'keep', 'fight', 'okay']",i hope that this small amount of money will help and spread kindness keep fighting okay,i hope that thi small amount of money will help and spread kind keep fight okay,0,-0.06214374985582653,-0.043423223141008216,0,-0.19459418601368042,-0.21859892403882406
16,Because I have children too.,SGD,50000,28.0,5.0,"['because', 'i', 'have', 'children', 'too']","['because', 'i', 'have', 'child', 'too']","['becaus', 'i', 'have', 'children', 'too']",because i have child too,becaus i have children too,0,-0.056188733160432526,-0.01017290328123523,0,-0.11671120641188039,-0.13874920081726277
17,I donated because I wanted to help this poor child of 10 months old suffering from liver disease and have about 6 months to live if there is no donor available. He was born as a normal child and has not even seen or chance to see the world.,SGD,10000,240.0,49.0,"['i', 'donated', 'because', 'i', 'wanted', 'to', 'help', 'this', 'poor', 'child', 'of', 'months', 'old', 'suffering', 'from', 'liver', 'disease', 'and', 'have', 'about', 'months', 'to', 'live', 'if', 'there', 'is', 'no', 'donor', 'available', 'he', 'was', 'born', 'as', 'a', 'normal', 'child', 'and', 'has', 'not', 'even', 'seen', 'or', 'chance', 'to', 'see', 'the', 'world']","['i', 'donated', 'because', 'i', 'wanted', 'to', 'help', 'this', 'poor', 'child', 'of', 'month', 'old', 'suffering', 'from', 'liver', 'disease', 'and', 'have', 'about', 'month', 'to', 'live', 'if', 'there', 'is', 'no', 'donor', 'available', 'he', 'wa', 'born', 'a', 'a', 'normal', 'child', 'and', 'ha', 'not', 'even', 'seen', 'or', 'chance', 'to', 'see', 'the', 'world']","['i', 'donat', 'becaus', 'i', 'want', 'to', 'help', 'thi', 'poor', 'child', 'of', 'month', 'old', 'suffer', 'from', 'liver', 'diseas', 'and', 'have', 'about', 'month', 'to', 'live', 'if', 'there', 'is', 'no', 'donor', 'avail', 'he', 'wa', 'born', 'as', 'a', 'normal', 'child', 'and', 'ha', 'not', 'even', 'seen', 'or', 'chanc', 'to', 'see', 'the', 'world']",i donated because i wanted to help this poor child of month old suffering from liver disease and have about month to live if there is no donor available he wa born a a normal child and ha not even seen or chance to see the world,i donat becaus i want to help thi poor child of month old suffer from liver diseas and have about month to live if there is no donor avail he wa born as a normal child and ha not even seen or chanc to see the world,0,-0.06975149442649392,-0.04926817685483909,0,-0.12045105091074777,-0.09074368300303848
18,My dad had the same condition,MYR,50000,29.0,6.0,"['my', 'dad', 'had', 'the', 'same', 'condition']","['my', 'dad', 'had', 'the', 'same', 'condition']","['my', 'dad', 'had', 'the', 'same', 'condit']",my dad had the same condition,my dad had the same condit,0,-0.0373134052579872,-0.01937314478888191,0,-0.11088799687211005,-0.21522336475909576
19,i donated because it might be just a simple act of service from us but to the families and love ones of Mdm ng it meant the entire world to them. A small part of action from me and you will keep the world a better place.,SGD,2000,220.0,47.0,"['i', 'donated', 'because', 'it', 'might', 'be', 'just', 'a', 'simple', 'act', 'of', 'service', 'from', 'us', 'but', 'to', 'the', 'families', 'and', 'love', 'ones', 'of', 'mdm', 'ng', 'it', 'meant', 'the', 'entire', 'world', 'to', 'them', 'a', 'small', 'part', 'of', 'action', 'from', 'me', 'and', 'you', 'will', 'keep', 'the', 'world', 'a', 'better', 'place']","['i', 'donated', 'because', 'it', 'might', 'be', 'just', 'a', 'simple', 'act', 'of', 'service', 'from', 'u', 'but', 'to', 'the', 'family', 'and', 'love', 'one', 'of', 'mdm', 'ng', 'it', 'meant', 'the', 'entire', 'world', 'to', 'them', 'a', 'small', 'part', 'of', 'action', 'from', 'me', 'and', 'you', 'will', 'keep', 'the', 'world', 'a', 'better', 'place']","['i', 'donat', 'becaus', 'it', 'might', 'be', 'just', 'a', 'simpl', 'act', 'of', 'servic', 'from', 'us', 'but', 'to', 'the', 'famili', 'and', 'love', 'one', 'of', 'mdm', 'ng', 'it', 'meant', 'the', 'entir', 'world', 'to', 'them', 'a', 'small', 'part', 'of', 'action', 'from', 'me', 'and', 'you', 'will', 'keep', 'the', 'world', 'a', 'better', 'place']",i donated because it might be just a simple act of service from u but to the family and love one of mdm ng it meant the entire world to them a small part of action from me and you will keep the world a better place,i donat becaus it might be just a simpl act of servic from us but to the famili and love one of mdm ng it meant the entir world to them a small part of action from me and you will keep the world a better place,0,-0.09371893919120428,-0.07397621249553919,0,-0.273751099937242,-0.0630320180691968
20,I want to help others to the best I can,SGD,1000,39.0,10.0,"['i', 'want', 'to', 'help', 'others', 'to', 'the', 'best', 'i', 'can']","['i', 'want', 'to', 'help', 'others', 'to', 'the', 'best', 'i', 'can']","['i', 'want', 'to', 'help', 'other', 'to', 'the', 'best', 'i', 'can']",i want to help others to the best i can,i want to help other to the best i can,0,-0.11308008153524954,-0.1416736409133506,0,-0.20857330835342355,-0.28125876846268616
21,Just paying forward.,MYR,200000,20.0,3.0,"['just', 'paying', 'forward']","['just', 'paying', 'forward']","['just', 'pay', 'forward']",just paying forward,just pay forward,0,-0.0373134052579872,-0.01937314478888191,0,-0.11088799687211005,-0.21522336475909576
22,Life is precious. Doing my little bit and hope it helps the family. Be strong to fight on.,SGD,5000,90.0,18.0,"['life', 'is', 'precious', 'doing', 'my', 'little', 'bit', 'and', 'hope', 'it', 'helps', 'the', 'family', 'be', 'strong', 'to', 'fight', 'on']","['life', 'is', 'precious', 'doing', 'my', 'little', 'bit', 'and', 'hope', 'it', 'help', 'the', 'family', 'be', 'strong', 'to', 'fight', 'on']","['life', 'is', 'preciou', 'do', 'my', 'littl', 'bit', 'and', 'hope', 'it', 'help', 'the', 'famili', 'be', 'strong', 'to', 'fight', 'on']",life is precious doing my little bit and hope it help the family be strong to fight on,life is preciou do my littl bit and hope it help the famili be strong to fight on,0,-0.06033723225671531,-0.047248309599729116,0,-0.08341314628058942,0.13607399491604963
24,It is more blessed to give! :),SGD,10000,30.0,7.0,"['it', 'is', 'more', 'blessed', 'to', 'give']","['it', 'is', 'more', 'blessed', 'to', 'give']","['it', 'is', 'more', 'bless', 'to', 'give']",it is more blessed to give,it is more bless to give,0,-0.066642826920762,-0.05902537269747811,0,-0.1558860509356848,-0.18146904181906998
25,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,SGD,350,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'thi', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kind', 'keep', 'fight', 'okay']",i hope that this small amount of money will help and spread kindness keep fighting okay,i hope that thi small amount of money will help and spread kind keep fight okay,0,-0.06214374985582653,-0.043423223141008216,0,-0.19459418601368042,-0.21859892403882406
26,I hope that this small amount of money will help and spread kindness. Keep fighting okay! ❤,MYR,1500,91.0,17.0,"['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'this', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kindness', 'keep', 'fighting', 'okay']","['i', 'hope', 'that', 'thi', 'small', 'amount', 'of', 'money', 'will', 'help', 'and', 'spread', 'kind', 'keep', 'fight', 'okay']",i hope that this small amount of money will help and spread kindness keep fighting okay,i hope that thi small amount of money will help and spread kind keep fight okay,0,-0.06214374985582653,-0.043423223141008216,0,-0.19459418601368042,-0.21859892403882406
27,I donated to baby Niyaz because he deserves a chance to lead a normal life at his fullest potential!,SGD,30000,100.0,19.0,"['i', 'donated', 'to', 'baby', 'niyaz', 'because', 'he', 'deserves', 'a', 'chance', 'to', 'lead', 'a', 'normal', 'life', 'at', 'his', 'fullest', 'potential']","['i', 'donated', 'to', 'baby', 'niyaz', 'because', 'he', 'deserves', 'a', 'chance', 'to', 'lead', 'a', 'normal', 'life', 'at', 'his', 'fullest', 'potential']","['i', 'donat', 'to', 'babi', 'niyaz', 'becaus', 'he', 'deserv', 'a', 'chanc', 'to', 'lead', 'a', 'normal', 'life', 'at', 'hi', 'fullest', 'potenti']",i donated to baby niyaz because he deserves a chance to lead a normal life at his fullest potential,i donat to babi niyaz becaus he deserv a chanc to lead a normal life at hi fullest potenti,0,-0.06015877939487057,-0.07742843851143637,0,-0.13262297245300161,-0.23658188414020687
28,I want to give back to society.,MYR,20000,31.0,7.0,"['i', 'want', 'to', 'give', 'back', 'to', 'society']","['i', 'want', 'to', 'give', 'back', 'to', 'society']","['i', 'want', 'to', 'give', 'back', 'to', 'societi']",i want to give back to society,i want to give back to societi,0,-0.10332097442265147,-0.12973236723219295,0,-0.21106706576316453,-0.22091015562642854
29,"Hope the little girl recover soon, be strong mummy",MYR,5000,50.0,9.0,"['hope', 'the', 'little', 'girl', 'recover', 'soon', 'be', 'strong', 'mummy']","['hope', 'the', 'little', 'girl', 'recover', 'soon', 'be', 'strong', 'mummy']","['hope', 'the', 'littl', 'girl', 'recov', 'soon', 'be', 'strong', 'mummi']",hope the little girl recover soon be strong mummy,hope the littl girl recov soon be strong mummi,0,-0.04788940083177466,0.08352771046718724,0,0.02859444368972687,0.010890652594584063
30,I hope sincerely that baby gets healed and blessed,SGD,2000,50.0,9.0,"['i', 'hope', 'sincerely', 'that', 'baby', 'gets', 'healed', 'and', 'blessed']","['i', 'hope', 'sincerely', 'that', 'baby', 'get', 'healed', 'and', 'blessed']","['i', 'hope', 'sincer', 'that', 'babi', 'get', 'heal', 'and', 'bless']",i hope sincerely that baby get healed and blessed,i hope sincer that babi get heal and bless,0,0.20784228846854572,-0.026560214628911803,0,0.5122265811033403,-0.08806910021634103
31,"I hope with the amount i give, it will help the family in anyway. My late father passed away recently in may due to his liver problem. Its sad for me to see such a small boy to suffer through the exact same thing. My support to the family.",SGD,150000,239.0,49.0,"['i', 'hope', 'with', 'the', 'amount', 'i', 'give', 'it', 'will', 'help', 'the', 'family', 'in', 'anyway', 'my', 'late', 'father', 'passed', 'away', 'recently', 'in', 'may', 'due', 'to', 'his', 'liver', 'problem', 'its', 'sad', 'for', 'me', 'to', 'see', 'such', 'a', 'small', 'boy', 'to', 'suffer', 'through', 'the', 'exact', 'same', 'thing', 'my', 'support', 'to', 'the', 'family']","['i', 'hope', 'with', 'the', 'amount', 'i', 'give', 'it', 'will', 'help', 'the', 'family', 'in', 'anyway', 'my', 'late', 'father', 'passed', 'away', 'recently', 'in', 'may', 'due', 'to', 'his', 'liver', 'problem', 'it', 'sad', 'for', 'me', 'to', 'see', 'such', 'a', 'small', 'boy', 'to', 'suffer', 'through', 'the', 'exact', 'same', 'thing', 'my', 'support', 'to', 'the', 'family']","['i', 'hope', 'with', 'the', 'amount', 'i', 'give', 'it', 'will', 'help', 'the', 'famili', 'in', 'anyway', 'my', 'late', 'father', 'pass', 'away', 'recent', 'in', 'may', 'due', 'to', 'hi', 'liver', 'problem', 'it', 'sad', 'for', 'me', 'to', 'see', 'such', 'a', 'small', 'boy', 'to', 'suffer', 'through', 'the', 'exact', 'same', 'thing', 'my', 'support', 'to', 'the', 'famili']",i hope with the amount i give it will help the family in anyway my late father passed away recently in may due to his liver problem it sad for me to see such a small boy to suffer through the exact same thing my support to the family,i hope with the amount i give it will help the famili in anyway my late father pass away recent in may due to hi liver problem it sad for me to see such a small boy to suffer through the exact same thing my support to the famili,0,-0.09545112643092439,-0.052312036793087754,0,-0.3330990925787032,0.549642197724822
33,We only live once...,SGD,2000,20.0,4.0,"['we', 'only', 'live', 'once']","['we', 'only', 'live', 'once']","['we', 'onli', 'live', 'onc']",we only live once,we onli live onc,0,-0.05210861587043195,-0.043479462099334815,0,-0.12562255148866108,-0.23793096469660244
35,A little help goes a long way. Do help if you can.,SGD,50000,50.0,12.0,"['a', 'little', 'help', 'goes', 'a', 'long', 'way', 'do', 'help', 'if', 'you', 'can']","['a', 'little', 'help', 'go', 'a', 'long', 'way', 'do', 'help', 'if', 'you', 'can']","['a', 'littl', 'help', 'goe', 'a', 'long', 'way', 'do', 'help', 'if', 'you', 'can']",a little help go a long way do help if you can,a littl help goe a long way do help if you can,0,-0.0641494363852716,-0.02931702122349505,0,-0.10673889517552064,-0.10566546684611679
36,Just want to give a helping hand.☺️,SGD,1000,35.0,7.0,"['just', 'want', 'to', 'give', 'a', 'helping', 'hand']","['just', 'want', 'to', 'give', 'a', 'helping', 'hand']","['just', 'want', 'to', 'give', 'a', 'help', 'hand']",just want to give a helping hand,just want to give a help hand,0,-0.12102652412403025,-0.16421363379009019,0,-0.22851598394919043,-0.24732217262096337
37,I donated because I try to help in whatever means I can,SGD,10000,55.0,12.0,"['i', 'donated', 'because', 'i', 'try', 'to', 'help', 'in', 'whatever', 'means', 'i', 'can']","['i', 'donated', 'because', 'i', 'try', 'to', 'help', 'in', 'whatever', 'mean', 'i', 'can']","['i', 'donat', 'becaus', 'i', 'tri', 'to', 'help', 'in', 'whatev', 'mean', 'i', 'can']",i donated because i try to help in whatever mean i can,i donat becaus i tri to help in whatev mean i can,0,-0.04861088825435233,-0.029155687813818217,0,-0.12106674792991957,-0.22226360980070212
38,I want to help this baby in dire need on his health condition,SGD,25000,61.0,13.0,"['i', 'want', 'to', 'help', 'this', 'baby', 'in', 'dire', 'need', 'on', 'his', 'health', 'condition']","['i', 'want', 'to', 'help', 'this', 'baby', 'in', 'dire', 'need', 'on', 'his', 'health', 'condition']","['i', 'want', 'to', 'help', 'thi', 'babi', 'in', 'dire', 'need', 'on', 'hi', 'health', 'condit']",i want to help this baby in dire need on his health condition,i want to help thi babi in dire need on hi health condit,2,-0.12234926750957906,-0.22082108917035728,0,-0.22524782638263355,-0.26429772080299374
39,Every child is precious,SGD,10000,23.0,4.0,"['every', 'child', 'is', 'precious']","['every', 'child', 'is', 'precious']","['everi', 'child', 'is', 'preciou']",every child is precious,everi child is preciou,0,-0.048349290177155675,-0.024810516626807323,0,-0.10230627315945895,-0.12478219463871577
40,I donated as I know how much it is for the family to face a load of struggles be it mentally physically and emotionally. Ever life is precious especially yound kids. I always believe that giving someone in need makes my heart happy.,SGD,10000,232.0,43.0,"['i', 'donated', 'as', 'i', 'know', 'how', 'much', 'it', 'is', 'for', 'the', 'family', 'to', 'face', 'a', 'load', 'of', 'struggles', 'be', 'it', 'mentally', 'physically', 'and', 'emotionally', 'ever', 'life', 'is', 'precious', 'especially', 'yound', 'kids', 'i', 'always', 'believe', 'that', 'giving', 'someone', 'in', 'need', 'makes', 'my', 'heart', 'happy']","['i', 'donated', 'a', 'i', 'know', 'how', 'much', 'it', 'is', 'for', 'the', 'family', 'to', 'face', 'a', 'load', 'of', 'struggle', 'be', 'it', 'mentally', 'physically', 'and', 'emotionally', 'ever', 'life', 'is', 'precious', 'especially', 'yound', 'kid', 'i', 'always', 'believe', 'that', 'giving', 'someone', 'in', 'need', 'make', 'my', 'heart', 'happy']","['i', 'donat', 'as', 'i', 'know', 'how', 'much', 'it', 'is', 'for', 'the', 'famili', 'to', 'face', 'a', 'load', 'of', 'struggl', 'be', 'it', 'mental', 'physic', 'and', 'emot', 'ever', 'life', 'is', 'preciou', 'especi', 'yound', 'kid', 'i', 'alway', 'believ', 'that', 'give', 'someon', 'in', 'need', 'make', 'my', 'heart', 'happi']",i donated a i know how much it is for the family to face a load of struggle be it mentally physically and emotionally ever life is precious especially yound kid i always believe that giving someone in need make my heart happy,i donat as i know how much it is for the famili to face a load of struggl be it mental physic and emot ever life is preciou especi yound kid i alway believ that give someon in need make my heart happi,2,-0.10384265699873339,-0.1208370992589352,0,-0.3462478412741843,0.007244555827344628
41,Giving back to the society that will help the needy !!!,SGD,10000,55.0,11.0,"['giving', 'back', 'to', 'the', 'society', 'that', 'will', 'help', 'the', 'needy']","['giving', 'back', 'to', 'the', 'society', 'that', 'will', 'help', 'the', 'needy']","['give', 'back', 'to', 'the', 'societi', 'that', 'will', 'help', 'the', 'needi']",giving back to the society that will help the needy,give back to the societi that will help the needi,0,-0.06166546563052953,-0.06008503534093662,0,-0.13541147855761113,-0.257897318378527
43,My prayers for you kiddo.,SGD,10000,25.0,5.0,"['my', 'prayers', 'for', 'you', 'kiddo']","['my', 'prayer', 'for', 'you', 'kiddo']","['my', 'prayer', 'for', 'you', 'kiddo']",my prayer for you kiddo,my prayer for you kiddo,0,-0.036698872985414785,-0.007298842632206389,0,-0.09353415970187813,-0.15897108333416682
